player_id,season,club_id,appearances,goals,assists,minutes,yellow,red,avg_rating,awards
5001,2023/24,801,34,4,10,2900,6,0,7.25,
5001,2024/25,801,35,5,12,3050,5,0,7.35,
5001,2025/26,801,18,2,6,1400,2,0,7.20,
5002,2023/24,801,36,27,8,3100,3,0,7.60,
5002,2024/25,801,34,25,7,2950,4,0,7.50,
5002,2025/26,801,12,8,2,900,1,0,7.10,
5003,2023/24,801,30,10,9,2600,2,0,7.30,
5003,2024/25,801,32,12,11,2800,3,0,7.40,
5003,2025/26,801,14,6,5,1100,1,0,7.15,
5004,2023/24,804,28,6,8,2400,4,0,7.05,
5004,2024/25,804,30,8,10,2700,3,0,7.20,
5005,2023/24,802,25,10,3,1900,5,0,7.10,
5005,2024/25,802,26,9,2,2000,4,0,7.00,
